VIN,BMS flashing,BMS No.,VCU flashing,TBOX VIN writing,
1,801,562,1.09,Done,
2,914,517,1.09,Done,
3,914,553,1.09,Done,
4,914,590,1.1,Done,
5,801,54,1.09,Done,
6,801,572,1.09,Done,
7,801,540,1.09,Done,
8,801,531,1.09,Done,
9,801,52,1.09,Done,
10,914,535,1.1,Done,
11,801,569,1.09,Done,
12,914,543,1.1,Done,
13,801,557,1.09,Done,
14,801,541,1.09,Done,
15,801,585,1.09,Done,
16,801,57,1.09,Done,
17,801,55,1.09,Done,
18,801,570,1.09,Done,
19,801,574,1.09,Done,
20,801,527,1.09,Done,
21,914,525,1.1,Done,
22,914,584,1.09,Done,
23,914,567,1.09,Done,
24,914,571,1.1,Done,
25,914,559,1.09,Done,
26,914,588,1.1,Done,
27,914,524,1.1,Done,
28,914,577,1.1,Done,
29,914,516,1.1,Done,
30,914,545,1.09,Done,
31,914,520,1.09,Done,
32,914,513,1.1,Done,
33,914,548,1.1,Done,
34,914,518,1.1,Done,
35,914,575,1.09 (Problem with keys),Done,
36,914,515,"1,09",Done,
37,914,542,1.1,Done,
38,914,560,1.1,Done,
39,914,537,1.1,Done,
40,914,582,1.1,Done,
41,914,521,1.09,Done,
42,914,538,1.1,Done,
43,914,546,1.1,Done,
44,914,56,,Done,
45,914,573,1.1,Done,
46,914,532,1.1,Done,
47,914,534,1.1,Done,
48,914,563,1.1,Done,
49,914,558,1.1,Done,
50,914,586,1.1,Done,
51,914,533,1.09,Done,
52,914,591,1.1,Done,
53,914,551,1.1,Done,
54,914,544,1.09,Done,
55,914,556,1.1,Done,
57,914,583,1.1,Done,
58,914,512,1.1,Done,
59,914,576,1.1,Done,
60,914,564,1.1,Done,
61,914,514,1.1,Done,
62,914,53,1.1,Done,
63,914,58,1.1,Done,
64,914,536,1.1,Done,
65,914,589,1.1,Done,
66,914,552,1.1,Done,
67,914,522,1.1,Done,
68,,,,,
69,914,587,1.09 (LV short power),Done,
70,914,579,1.1,Done,
71,914,529,1.1,,
72,914,581,1.1,,
73,914,561,1.1,,
74,1212,511,1.1,Done,
75,914,510,1.1,Done,
76,914,526,1.09 (Not turned on),Done,
77,1212,547,1.09 (Not turned on),Done,
78,914,550,1.09 (Not turned on),Done,
79,914,519,1.1,,
80,1212,555,1.09 (Not turned on),Done,
81,914,580,,Done,
82,,,,,
83,1212,530,1.1,Done,
84,914,528,1.09,Done,
85,914,59,1.1,Done,
86,914,578,1.1,Done,
87,914,566,1.1,Done,
88,914,549,1..09 not turn on,Done,
89,914,565,1.1,,
90,914,5256,1.1,Done,
91,914,5259,1.09(Not turned on),Done,
92,914,5283,1.1,Done,
93,914,5277,1.1,Done,
94,914,5286,1.09,,
95,914,5274,1.09,,
96,914,5284,1.1,Done,
97,914,5273,1.1,Done,
98,1213,5275,1.1,Done,
99,914,5257,1.1,Done,
100,914,5282,1.1,Done,
101,914,5243,1.09 (not turn on),Done,
102,914,5223,1.1,Done,
103,914,5271,1.09 (not turn on),Done,
104,914,5247,1.1,Done,
105,914,5265,1.1,Done,
106,914,5269,1.1,Done,
107,914,5264,1.09,Done,
108,914,5253,1.09,Done,
109,914,5267,1.1,Done,
110,914,5263,1.09,Done,
111,914,5268,1.1,,
112,914,5251,1.09,,
113,914,5272,1.1,,
114,914,5266,1.1,Done,
115,914,5260,1.1,Done,
116,914,5249,1.09,,
117,914,5258,1.09,,
118,914,5281,1.1,,
119,914,5215,1.1,,
120,914,5224,1.09,,
121,914,5234,1.09,,
122,914,5226,1.1,,
123,914,5227,1.1,,
124,914,5240,1.1,,
125,914,5237,1.09,,
126,914,5229,1.1,,
127,914,5214,1.1,,
128,914,5216,,,
129,914,5212,,,
130,,5205,1.1,,
131,914,5279,1.1,,
132,914,5255,,,
133,914,5209,1.1,,
134,914,5220,1.1,,
135,914,5221,1.1,,
136,914,5246,1.1,,
137,914,5250,1.1,,
138,914,5280,1.1,,
139,,,,,
140,914,5270,1.1,,
141,914,5254,"1,1",,
142,,,,,
143,914,5276,1.1,,
144,,5261,,,
145,914,5262,1.1,,
146,914,5245,1.1,,
147,914,5278,1.1,,
148,,,,,
149,914,5244,1.1,,
150,914,5231,1.1,,
151,914,5225,1.1,,
152,914,5236,1.1,,
153,914,5211,1.1,,
154,914,5210,1.1,,
155,,,,,
156,914,5148,,,
157,,,,,
158,,,,,
159,914,,1.1,,
160,,,,,
161,914,5164,1.1,,
162,914,5120,1.1,,
163,914,5118,1.1,,
164,914,5118,1.1,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,124,5235,,,
,124,5232,,,
,124,5106,,,
,124,5228,,,
,124,5199,,,
,124,5198,,,
,124,5213,,,
,124,5202,,,
